"Timestamp","What do you enjoy playing in Generals Zero Hour?","Do you participate in Multiplayer leagues, tournaments or challenges?","What platform(s) do you use when playing Multiplayer?","Do you use any optional tools?","When playing a match in Singleplayer or Multiplayer, do you encounter any gameplay issues that are frustrating?","When playing a match in Multiplayer, do you encounter any faction (army) balancing issues that appear unfair?","All Community Mods aside, how happy are you with the overall state of original Zero Hour 1.04 Version?","If Electronic Arts (EA) was to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","If Community Users were to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","What patch changes would be be acceptable for you beyond fixes and improvements with mainly Multiplayer in mind?","If an original game feature is bugged and its use has been accepted as not cheating/exploiting, would you prefer the bug to be fixed, even if it meant the gameplay changed because of it?","If an original game feature is imbalanced and impossible to fix by just changing build cost and build time, would you prefer the imbalance to be fixed, even if it meant the gameplay changed because of it?","If Community Users would release and distribute a new patch with fixes and improvements, would you be concerned about its adoption success by the general Multiplayer population? (Player base split)","Would a new patch with fixes and improvements be an incentive for you to play more Multiplayer?","Here you can write anything that is on your mind related to this questionnaire. What do you find frustrating? What would you like to see improved?"
"2021/08/29 3:21:01 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...);Other","No","","","No","","5","5","5","","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","No, same","A balance to the path finder, (reduce fire rate). A buff to GLA base defenses.  "
"2021/08/29 3:28:55 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes","Yes","Yes","Yes","balance teams . like make AF weaker etc..."
"2021/08/29 3:30:47 PM GMT+2","Singleplayer;Multiplayer","No","GameRanger;CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","Yes, a few","3","5","4","Menu changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","Yes",""
"2021/08/29 3:31:49 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","3","5","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes, a bit","Yes","remove aurora and demo bikes"
"2021/08/29 3:41:20 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Other","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","No","Yes",""
"2021/08/29 3:51:49 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro","Yes, sometimes","No","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","No","No","Yes","A custom launcher for Generals Zero Hour like the mods that Red Alert 2 and Tiberian Sun mods have would be nice; if not possible, having more freedom to edit the main menus more to provide more creativity to each mod would also be nice."
"2021/08/29 4:10:43 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","GameRanger;Radmin","GenTool (latest);ControlBarPro;GenPatcher;Other","Yes, often","Yes, many","3","5","5","Menu changes;Ingame Interface changes","Yes","Yes, if the impact is small","Yes, a bit","Yes","Perfect Mod Go with it, a total stranger that have nothing to do with the creation of this survey :P"
"2021/08/29 4:11:59 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","","No","No","4","5","4","Menu changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes, a bit","No, same",""
"2021/08/29 4:14:55 PM GMT+2","Singleplayer;Multiplayer","No","","","Yes, sometimes","No","4","5","4","Menu changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small","No","Yes","Yes","Biggest issue is the mismatch error in multiplayer games."
"2021/08/29 4:18:15 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest)","Yes, sometimes","No","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","No","Yes",""
"2021/08/29 4:22:11 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","","Yes, sometimes","Yes, a few","4","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","No, same",""
"2021/08/29 4:35:51 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","","GameRanger;Radmin","GenTool (latest);ControlBarPro;GenPatcher","Yes, often","Yes, many","3","5","5","Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","Yes","Perhaps a way for GLA and China armies to clear up toxins/radiation without having to use the non-stacking exploit would be a good implementation imho. Making some existing units/structures more useful would also be great, as well as making the most commonly used ones be less overpowered but not too much (such as missile defender humvees, technicals with terrorists, quad cannons against structures/vehicles somewhat, airforce general's king raptors and stealth commanches, laser general's laser turrets (and the range bug that exists currently), superweapon general's aurora alphas, infantry's attack outposts, nuke's battlemasters etc.) And last but not least, all the annoying range bugs and exploits like the propaganda bonus exploit and so on would be nice to get rid of, please!"
"2021/08/29 4:37:42 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest);GenPatcher","Yes, sometimes","Yes, many","4","4","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes","Yes","No","No, same","I think a toggle would be perfect for this, it helps us mostly PvE players who are always looking forward to new updates, features, and balancing changes to the game. Multi-player players can have the option to choose between the two as it isn't forced upon them"
"2021/08/29 4:44:03 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, often","Yes, a few","4","5","3","Menu changes;Audio and visual changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","No, same",""
"2021/08/29 4:46:07 PM GMT+2","Singleplayer;Multiplayer","No","Radmin","GenTool (latest)","Yes, often","Yes, a few","4","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 4:46:13 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","Yes, a few","4","5","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes, a bit","Yes",""
"2021/08/29 4:50:57 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, sometimes","Yes, a few","5","5","3","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes","No","Yes, a bit","Yes","I think spliting the players will be good becouse of the all players with gentool will be on one side and the others will be on the other side. Infact the other players are noobs or players who play the game one time per week. Please my laptob is 3 GB RAM and i want to play the new game on the same laptob.
"
"2021/08/29 4:51:56 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","Other","Yes, sometimes","Yes, many","3","5","5","Audio and visual changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same","The first thing that absolutely needs to be fixed is the performance. This is something that mod can't fix, some of the times games can lag a lot due to various reasons (mostly AI things). If the game could take advantage of the power of modern hardware, hope it can reduce the lag, and maybe open a ton of possibility for modding and mapping. This is one of thing require official input since it required to modify game code.

The second is that the game needs proper widescreen support. By default, the game didn't support 1920x1080. You are either required to modify ini file or install gentool, it would be great if the game has that option available by default

The third would involve some balance problem, might change gameplay, and upset some players. I felt like each general is not unique enough, for example, Laser General didn't have that many laser units, adding Laser Comanche would be the first step. Stealth is one thing that needs some changes, either reduce the stealth detection range or remove stealth detection from all defensive structures and units like USA Pathfinder can only detect stealth infantry...etc (Inspired by Contra, don't have to copy everything from it btw) Units like Sentry Drone, Listening Outpost, and Radar Van shall keep their detection capability as the original game. (Detect all types of stealth in large range)"
"2021/08/29 4:54:29 PM GMT+2","Singleplayer","No","","","No","","4","5","5","Audio and visual changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","","",""
"2021/08/29 5:00:18 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Other","","Yes, often","Yes, a few","3","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","No","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 5:00:41 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, a few","4","5","5","Ingame Interface changes;Gameplay or functionality changes for existing units, buildings and powers","No","No","Yes","Yes",""
"2021/08/29 5:03:37 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest)","No","Yes, many","5","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes","Yes","Everything you are doing is awesome."
"2021/08/29 5:07:16 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes","Yes","No","Yes","units get really dumb when controling them in large numbers "
"2021/08/29 5:08:46 PM GMT+2","Multiplayer","Yes","GameRanger;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, a few","4","5","5","New units, buildings or powers;New factions (armies)","Yes","Yes, if the impact is small","Yes, a bit","No, same","Joker sucks"
"2021/08/29 5:11:56 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;Radmin","GenTool (latest);Other","Yes, sometimes","Yes, a few","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes, a bit","Yes",""
"2021/08/29 5:14:39 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Other","GenTool (latest);GenPatcher","Yes, sometimes","Yes, a few","5","5","5","Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same",""
"2021/08/29 5:20:15 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest)","Yes, often","Yes, a few","3","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes","Yes","Yes","Yes",""
"2021/08/29 5:35:40 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;Radmin","","Yes, sometimes","No","5","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","Yes",""
"2021/08/29 5:44:13 PM GMT+2","Singleplayer;Multiplayer","No","Other","GenTool (latest)","No","Yes, a few","4","5","5","New units, buildings or powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 5:57:39 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","","No","","3","5","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","No","No, same",""
"2021/08/29 5:58:03 PM GMT+2","Singleplayer","No","Other","Other","No","Yes, many","4","5","5","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small","Yes","Yes, a bit","Yes",""
"2021/08/29 5:59:38 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, many","5","4","3","Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes","No, less","its about split community and change game maybe would be nice but i dont think so"
"2021/08/29 6:02:32 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (old)","Yes, sometimes","Yes, many","3","3","3","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes","Make sentry drones great again."
"2021/08/29 6:05:07 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;CNC Online (Revora);Other","GenTool (latest);ControlBarPro;GenPatcher","No","No","4","2","2","Menu changes;Ingame Interface changes","No","No","Yes, a bit","No, same","I'll be honest, I rarely ever play Generals online. However, I do think a community patch might be a bad idea for this game. It will more than likely split the player base and for such a small community it could be fatal.

If a community patch is in order I'd say it should be restricted to menu changes and UI changes (perhaps the controlbar mod implemented)

My opinion should not be taken highly as I have little multiplayer presence but I have played this game since it's release religiously and would hate to see it die out over a community patch.

That is all."
"2021/08/29 6:14:55 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","Yes, often","","5","4","4","Menu changes;Ingame Interface changes;New units, buildings or powers","No","Yes","Yes","No, same",""
"2021/08/29 6:16:14 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Hamachi","GenTool (old);GenPatcher","Yes, sometimes","Yes, a few","3","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes, a bit","Yes",""
"2021/08/29 6:20:17 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;CNC Online (Revora)","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, many","4","2","5","Menu changes;Ingame Interface changes;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","No","Yes","I find the casual ZH community complaints so invalid.  Please ignore them."
"2021/08/29 6:46:26 PM GMT+2","Multiplayer","","GameRanger","GenTool (latest);ControlBarPro;GenPatcher","No","Yes, a few","5","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New factions (armies)","Yes, if the impact is small","No","Yes","Yes",""
"2021/08/29 6:47:24 PM GMT+2","Singleplayer","No","GameRanger;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, a few","4","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same","Giving attention on the whole game itself and releasing a ""balanced"" patch looks wonderful for me! keep on the good work guys :D "
"2021/08/29 6:54:35 PM GMT+2","Multiplayer","No","GameRanger;Radmin","GenTool (latest);ControlBarPro","Yes, sometimes","No","3","4","4","New factions (armies)","Yes, if the impact is small","No","Yes, a bit","No, less",""
"2021/08/29 6:56:46 PM GMT+2","Singleplayer","No","Hamachi","GenPatcher","Yes, often","No","4","2","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","Yes",""
"2021/08/29 7:10:02 PM GMT+2","Multiplayer","Yes","GameRanger;CNC Online (Revora)","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","3","5","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes","Yes",""
"2021/08/29 7:13:09 PM GMT+2","Singleplayer;Multiplayer","","CNC Online (Revora)","GenTool (latest)","Yes, often","No","3","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","Yes","The main thing that most people don't like about the online servers (besides lag) is the ""army imbalance."" Personally i think that the armies are good as they are, some are better then others at beating certain armies, but then are bad against others. Like how air is generally accepted as stronger than others, but if you bunker as laser, everything dies. But then if your any gla vs. a bunkering laser, just scud spam and you win. The only thing that i can think of that is most definitely unfair are the alpha auroras, but as soon as you put down a emp patriot, everyone targets you before you can even get auroras (this is talking about defcon ffa btw). Everything kinda balances out. And in tournaments, its almost always no rules because there are multiple rounds and everyone gets a chance to be air or demo or something else. anyway i think it would be cool to have more things in it (such as more armies, units, buildings, ect.), but only minimal balancing otherwise."
"2021/08/29 7:17:53 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest)","No","Yes, a few","4","5","5","Menu changes;Audio and visual changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","No","No","Yes",""
"2021/08/29 7:29:24 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Other","","Yes, sometimes","No","3","4","5","Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes","Not really"
"2021/08/29 7:32:01 PM GMT+2","Multiplayer","No","GameRanger","GenTool (latest);ControlBarPro","Yes, sometimes","No","5","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 7:33:50 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","Yes, sometimes","","3","5","5","New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes","No","Yes","I'd like a bit more balance between factions as GLA is often underpowered in many circumstances. And new factions would be pretty good as long as they're also balanced well. "
"2021/08/29 7:40:46 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","No","No","3","5","5","Audio and visual changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","No","Yes","I'd play multiplayer if you can actually fix mismatches."
"2021/08/29 7:48:01 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","","","Yes, a few","4","5","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","Yes","just look at mid range stuff like rocket buggies or the flame launchers of china maybe look at balancing those units better. "
"2021/08/29 7:55:16 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, many","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes","Yes",""
"2021/08/29 8:11:21 PM GMT+2","Singleplayer","No","Other","Other","Yes, sometimes","No","4","5","5","Menu changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes","Yes","Yes","No, same",""
"2021/08/29 8:23:13 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Hamachi;Other","","No","Yes, a few","4","5","3","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes","Yes","No, same","I enjoy playing ZH coop local games where me and my friends games are both modded. I'd be glad if I saw someone talking about coop or asking questions such as this regarding coop compability with mods, gameplay etc."
"2021/08/29 8:24:05 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","","Yes, sometimes","Yes, a few","5","5","5","Audio and visual changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","No","Yes","Mismatch"
"2021/08/29 8:25:01 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest)","Yes, often","No","3","5","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small","Yes","Yes","Yes",""
"2021/08/29 8:25:55 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","GameRanger","","Yes, sometimes","No","4","5","5","Menu changes;Ingame Interface changes;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes, a bit","Yes",""
"2021/08/29 8:26:18 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","Radmin","GenTool (latest)","No","No","4","4","5","New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes",""
"2021/08/29 8:26:54 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;Hamachi;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, a few","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/29 8:27:08 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;Radmin","","Yes, often","Yes, a few","4","5","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes, if the impact is small","Yes","No, same",""
"2021/08/29 8:27:36 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","","Radmin;Hamachi","","Yes, often","Yes, a few","2","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes",""
"2021/08/29 8:29:02 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","","","5","5","5","Ingame Interface changes;Gameplay or functionality changes for existing units, buildings and powers","","","","",""
"2021/08/29 8:29:15 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Radmin;Hamachi","GenTool (latest)","Yes, sometimes","No","2","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","Yes","hey i think it's a shame that ea won't release a new version i hope you somehow manage to get the source code and release new generals/buildings etc. 
love greetings your Joel"
"2021/08/29 8:30:06 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Other","Other","Yes, sometimes","No","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","No","No, same",""
"2021/08/29 8:30:16 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","2","5","4","Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","No","No, same",""
"2021/08/29 8:30:37 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","Yes","Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","1","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes, a bit","Yes",""
"2021/08/29 8:30:50 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Hamachi","Other","Yes, sometimes","No","5","3","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes",""
"2021/08/29 8:35:40 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","No","5","5","5","Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","No","Yes, if the impact is small","No","Yes",""
"2021/08/29 8:37:11 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...);Other","No","Radmin","GenTool (latest);Other","Yes, sometimes","Yes, a few","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","No, same",""
