"Timestamp","Что вам нравится в игре Generals Zero Hour?","Участвуете ли вы в многопользовательских лигах, турнирах или соревнованиях?","Какие платформы вы используете для игры с другими людьми?","Используете ли вы что-то из ниже перечисленного?","Во время игры в одиночном или многопользовательском режиме сталкиваетесь ли вы с какими-либо игровыми проблемами, которые вас расстраивают?","Сталкиваетесь ли вы с проблемами баланса фракций (армий), которые кажутся несправедливыми или нечестными, когда играете в многопользовательском режиме?","Если отбросить все моды сообщества, насколько вы довольны общим состоянием оригинальной версии Zero Hour 1.04?","Если бы Electronic Arts (EA) сегодня выпустила новый патч на Generals Zero Hour 1.04, исправляющий эксплойты, ошибки, дисбаланс и улучшающий производительность, графику и звуки, насколько вы были бы этому рады?","Если бы Пользователи Сообщества выпустили сегодня патч на Generals Zero Hour 1.04 и исправили эксплойты, ошибки, дисбаланс и улучшили производительность, графику и звуки, насколько бы вы были этому рады?","Какие изменения в патче,  в основном касающихся мультиплеера, были бы приемлемы для вас, помимо исправлений и улучшений?","Если в оригинальной игре есть баг или ошибка, предпочли бы вы, чтобы она была исправлена, даже если бы из-за этого изменился геймплей?","Если в оригинальной игре есть дисбаланс, который невозможно исправить просто изменив стоимость и время строительства, вы бы предпочли, чтобы дисбаланс был исправлен даже если бы из-за этого изменился геймплей?","Если бы Пользователи Сообщества выпустили и распространили новый патч с исправлениями и улучшениями, беспокоились бы вы о том, насколько успешно он будет принят широкой аудиторией мультиплеера? (Разделение игроков на два лагеря)","Стал бы новый патч с исправлениями и улучшениями для вас стимулом, чтобы больше играть в мультиплеер?","Здесь вы можете написать все, что у вас на уме, связанное с этим опросом. Что вас расстраивает? Что вы хотели бы улучшить?"
"2021/08/29 7:03:33 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да","Хотелось бы получить больше информации в онлайне о других игроках, к примеру в самом лобби, и в самой игре"
"2021/08/29 7:03:38 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 7:07:09 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Да, иногда","Да, часто","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 7:07:12 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 7:10:39 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да","Да","Да",""
"2021/08/29 7:17:21 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","","","Нет","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 7:33:15 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","","GenTool (Последняя версия)","Да, иногда","","4","4","5","","Да, если изменения будут незначительными","Нет","Нет","Да","Я в мультиплеер не играл.  ИИ или тупит,  или раскатывает (у меня мод ИИ стоит). Поставил gen tol, fps поднять так и не смог,  на монике 165гц карту двигает с рывками.  Пока въезжаю как в онлайне поиграть.  В red alert играл в онлайн,  прикольно"
"2021/08/29 7:41:07 PM GMT+2","Одиночный режим","Нет","Hamachi","GenTool (Последняя версия)","Да, иногда","Да, часто","5","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да","Да, немного","Да",""
"2021/08/29 7:42:19 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Другое","Другое","Нет","Нет","4","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","","","Я прошёл опрос с точки зрения зрителя"
"2021/08/29 7:46:34 PM GMT+2","Одиночный режим;Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Нет","Нет","Да","Нет, останется таким же",""
"2021/08/29 7:56:03 PM GMT+2","Одиночный режим;Игры Онлайн","Да","GameRanger;Radmin;Другое","GenTool (Последняя версия)","Нет","Да, временами","5","5","4","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","","Нет","Да, немного","Да","Ребята, если вы делаете патч, добавьте ванильному хеликсу и гаттлингу хп! Пусть Чина немного сильнее будет."
"2021/08/29 8:05:04 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","5","3","2","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/08/29 8:06:45 PM GMT+2","Игры Онлайн","Нет","Другое","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 8:08:47 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Нет","Radmin","GenTool (Последняя версия)","Нет","Да, временами","4","5","5","Изменения меню;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 8:11:47 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Другое","GenTool (Последняя версия)","Нет","Да, часто","4","5","3","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 8:14:26 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Да, часто","Да, часто","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 8:25:23 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin","GenTool (Последняя версия);ControlBarPro;GenPatcher","Да, иногда","Да, часто","4","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/29 8:27:32 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Нет","Да, временами","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 8:30:33 PM GMT+2","Игры Онлайн","Нет","Radmin;Другое","GenTool (Последняя версия)","Нет","Нет","5","5","1","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые фракции (армии)","Нет","Нет","Нет","Нет, станет меньше","Пиздец вы умные, вы хоть понимаете что ваш ссаный патч приведёт к постоянным несоответствием игр между игроками и невозможно будет играть! Засуньте патч в жопу."
"2021/08/29 8:31:47 PM GMT+2","Игры Онлайн","Нет","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да, немного","Да","что будет с классными багами, например каркас по верх скрапа (scrap denial) который используют особенно про-игроки.
вроде это баг, так не задумывалось, но все же требует внимания, скилла и скорости чтобы убрать скрап, и поэтоиу баг как-бы превротился в фичу.

вроде бы хочится чтобы это было исправленно, но и не хочится расколлоть игроков на два лагеря."
"2021/08/29 8:34:26 PM GMT+2","Игры Онлайн","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Нет","Нет","5","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да","Ребята, сделайте графу такую же как у Еволюшион или лучше. Удачи"
"2021/08/29 8:36:13 PM GMT+2","Игры Онлайн","Нет","Другое","GenTool (Старая версия)","Да, иногда","Да, временами","5","5","5","Изменения меню;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же",""
"2021/08/29 8:36:45 PM GMT+2","Игры Онлайн","Нет","Radmin","Другое","Да, иногда","Нет","5","1","1","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Нет","Нет","Нет, станет меньше","ТЫ ДОЛБАЁБ БЛЯТЬ КАКОЙ НАХУЙ ДИЗБАЛАНС В ГЕНЕРАЛАХ ЕСЛИ ТЫ НЕ МОЖЕШЬ ЗАКОНТРИТЬ КВАД ЗЕНИТКИ ЭТО ТВОЯ ПРОБЛЕМА ДЕГЕНЕРАТИВНЫЙ КРЕТИН"
"2021/08/29 8:37:07 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, часто","3","5","5","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да","Да","Нет, останется таким же","Генералы не цнц, но пройти опросник - это святое"
"2021/08/29 8:42:52 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/29 8:44:46 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, временами","4","5","3","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 8:53:14 PM GMT+2","Игры Онлайн","Нет","Radmin","Другое","Да, иногда","Нет","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Нет","Нет, останется таким же",""
"2021/08/29 8:54:11 PM GMT+2","Одиночный режим","Нет","Другое","Другое","Да, часто","Да, часто","2","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да","Да","Да","Да","Графика игры -  20 века. Сейчас 21 век"
"2021/08/29 8:56:39 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Старая версия)","Да, часто","Нет","5","5","5","Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 9:02:06 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","GameRanger;CNC Online (Revora)","GenTool (Последняя версия);GenTool (Старая версия)","Да, иногда","Да, временами","5","5","4","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Нет","","Да",""
"2021/08/29 9:02:07 PM GMT+2","Игры Онлайн","Да","GameRanger;CNC Online (Revora)","GenTool (Последняя версия)","Нет","Нет","5","5","3","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Нет, останется таким же",""
"2021/08/29 9:04:13 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Нет","Да",""
"2021/08/29 9:04:56 PM GMT+2","Игры Онлайн;Другое","Нет","Другое","Другое","Нет","Да, временами","4","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Нет","Да","Очень  сложный онлайн. Хотелось бы что бы было легко искать игры и оппонентов. Спасибо!"
"2021/08/29 9:04:59 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","","Да, часто","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да, немного","Да",""
"2021/08/29 9:06:38 PM GMT+2","Одиночный режим;Игры Онлайн","Да","Radmin","","Да, иногда","Нет","5","5","5","Изменения меню;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:06:57 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","","","","Нет","Нет","5","5","5","","","","","",""
"2021/08/29 9:07:03 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/29 9:07:05 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Да, иногда","Нет","4","3","5","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Нет","Да",""
"2021/08/29 9:07:11 PM GMT+2","Игры Онлайн","Нет","","","Да, иногда","","4","5","5","","Да, если изменения будут незначительными","","","",""
"2021/08/29 9:07:14 PM GMT+2","Игры Онлайн","Нет","Hamachi","GenTool (Последняя версия);GenTool (Старая версия)","Нет","Нет","4","5","5","Изменения внутриигрового интерфейса;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да","Да","Да","Да",""
"2021/08/29 9:07:16 PM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 9:07:18 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 9:07:27 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Нет","Другое","Другое","Да, иногда","Да, часто","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Нет","Да",""
"2021/08/29 9:07:28 PM GMT+2","Игры Онлайн","Нет","Другое","Другое","Нет","Да, часто","5","5","5","Изменения внутриигрового интерфейса;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 9:07:30 PM GMT+2","Одиночный режим","Нет","Hamachi;Другое","Другое","Нет","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:07:45 PM GMT+2","Одиночный режим","Нет","","","Нет","Нет","3","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/29 9:07:53 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","","Да, иногда","Нет","4","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:08:00 PM GMT+2","Одиночный режим","Нет","","","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Нет","Да","Мне плевать у кого воровать."
"2021/08/29 9:08:08 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin;Hamachi","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:08:12 PM GMT+2","Одиночный режим","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же",""
"2021/08/29 9:08:15 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin;Hamachi","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/29 9:08:19 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Новые юниты, здания или повышения","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да",""
"2021/08/29 9:08:35 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Нет","Нет","Да",""
"2021/08/29 9:08:45 PM GMT+2","Одиночный режим","Нет","Hamachi","Другое","Нет","Нет","5","5","5","Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же","Респект Бляру"
"2021/08/29 9:08:50 PM GMT+2","Игры Онлайн","Нет","Другое","Другое","Нет","Нет","5","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да","Нет","Да, немного","Нет, останется таким же","Графику"
"2021/08/29 9:09:10 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Старая версия)","Да, иногда","Нет","5","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да","Нет","Да","Да",""
"2021/08/29 9:09:20 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","GenTool (Последняя версия)","Да, часто","Да, часто","1","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/29 9:09:32 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Нет","Нет","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/29 9:09:39 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Да","Другое","GenTool (Последняя версия)","Нет","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да","Я очень сильно хочу что наконец-то бы вышло новая версия, будет просто супер бомба пушкааааа ракеттаааааа"
"2021/08/29 9:09:40 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Другое","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Изменения меню","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же",""
"2021/08/29 9:09:49 PM GMT+2","Игры Онлайн","Нет","Radmin","","Да, иногда","Да, временами","4","5","5","Изменения внутриигрового интерфейса;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:10:08 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","CNC Online (Revora)","Другое","Нет","Нет","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Да","Да","Хотелось бы что бы обновили и улучшили игру"
"2021/08/29 9:10:17 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да","Да","Да",""
"2021/08/29 9:10:17 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия);GenTool (Старая версия)","Нет","Да, временами","4","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да",""
"2021/08/29 9:10:18 PM GMT+2","Одиночный режим","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Да, часто","Нет","4","5","5","Новые фракции (армии)","Да, если изменения будут незначительными","Нет","Да","Да",""
"2021/08/29 9:10:19 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","4","3","5","Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да, немного","Да",""
"2021/08/29 9:10:20 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:10:30 PM GMT+2","Одиночный режим;Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","5","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 9:10:35 PM GMT+2","Игры Онлайн","Нет","Другое","GenTool (Старая версия)","Да, часто","Нет","5","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Нет","Да","Да","Через гентул не поиграть "
"2021/08/29 9:10:40 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","4","5","5","Изменения внутриигрового интерфейса;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:10:41 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;Hamachi","Другое","Да, иногда","Да, временами","4","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 9:10:52 PM GMT+2","Одиночный режим;Игры Онлайн","Да","Radmin","GenTool (Последняя версия);GenTool (Старая версия)","Да, иногда","Да, временами","4","5","5","Новые фракции (армии)","Да, если изменения будут незначительными","Нет","","Да",""
"2021/08/29 9:10:52 PM GMT+2","Игры Онлайн","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Да, иногда","Нет","3","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Нет","Да","Да","Бесят тормоза, нормальный мультиплеер нужен, графику подтянуть. "
